Eccentricity;ILM Z(mm);ILM I;ILM BScan visibility;ILM LRP visibility;INL/OPL Z(mm);INL/OPL I;INL/OPL BScan visibility;INL/OPL LRP visibility;OPL/HFL Z(mm);OPL/HFL I;OPL/HFL BScan visibility;OPL/HFL LRP visibility;ELM Z(mm);ELM I;ELM BScan visibility;ELM LRP visibility;EZ Z(mm);EZ I;EZ BScan visibility;EZ LRP visibility;IZ Z(mm);IZ I;IZ BScan visibility;IZ LRP visibility;RPE/BL/BRM Z(mm);RPE/BL/BRM I;RPE/BL/BRM BScan visibility;RPE/BL/BRM LRP visibility;retinal thickness;photoreceptor length;bacillary thickness
0,0;0,620100;95,000000;continuous;slope;0,647400;94,000000;not present;not present;0,647400;94,000000;not present;not present;0,741000;99,000000;continuous;peak;0,780000;244,666667;discontinuous;peak;0,799500;211,333333;not visible;shoulder;0,838500;163,000000;continuous;peak;0,218400;0,152100;0,058500
-0,5;0,585000;57,666667;continuous;slope;0,705900;94,666667;continuous;slope;0,725400;65,333333;continuous;slope;0,795600;105,666667;discontinuous;peak;NaN;NaN;not visible;not visible;NaN;NaN;not visible;not visible;0,858000;232,666667;continuous;peak;0,273000;NaN;NaN
0,5;0,514800;50,666667;continuous;slope;0,631800;103,666667;continuous;slope;0,670800;97,000000;continuous;slope;0,713700;101,333333;continuous;peak;0,741000;200,333333;uncertain;peak;0,760500;193,333333;not visible;slope;0,776100;228,000000;continuous;peak;0,261300;0,109200;0,046800
-1,0;0,557700;86,666667;continuous;slope;0,713700;115,666667;continuous;slope;0,741000;94,000000;continuous;slope;0,822900;117,333333;continuous;peak;0,854100;222,000000;discontinuous;peak;0,873600;194,333333;not visible;slope;0,889200;202,666667;continuous;peak;0,331500;0,146250;0,050700
1,0;0,456300;71,000000;continuous;slope;0,588900;101,666667;continuous;slope;0,608400;85,333333;continuous;slope;0,670800;103,666667;discontinuous;peak;NaN;NaN;not visible;not visible;NaN;NaN;not visible;not visible;0,733200;187,333333;continuous;shoulder;0,276900;NaN;NaN
-1,5;0,577200;74,666667;continuous;slope;0,744900;103,000000;continuous;slope;0,772200;103,666667;continuous;slope;0,838500;111,666667;continuous;peak;0,861900;198,333333;continuous;peak;0,885300;224,333333;uncertain;peak;0,928200;205,666667;continuous;peak;0,351000;0,126750;0,046800
1,5;0,366600;86,666667;continuous;slope;0,499200;114,000000;continuous;slope;0,553800;109,666667;continuous;slope;0,592800;122,666667;continuous;peak;0,620100;204,333333;continuous;peak;0,639600;207,000000;not visible;slope;0,651300;246,000000;continuous;peak;0,284700;0,113100;0,046800
-2,0;0,620100;70,333333;continuous;slope;0,776100;103,666667;continuous;slope;0,815100;91,666667;continuous;slope;0,881400;75,666667;continuous;peak;0,908700;192,000000;continuous;peak;0,928200;172,000000;not visible;slope;0,936000;207,000000;continuous;peak;0,315900;0,132600;0,046800
2,0;0,300300;52,000000;continuous;slope;0,421200;110,666667;continuous;slope;0,471900;102,666667;continuous;slope;0,510900;100,333333;continuous;peak;0,534300;211,000000;continuous;peak;0,553800;166,000000;not visible;slope;0,581100;240,666667;continuous;peak;0,280800;0,107250;0,042900
